trace_id,stv,anomaly_score
9380e5ddf5dcefdc,"[7504, 7206, 6882, 6021, 2288, 772, 1706, 514, 548, 40, 961, 1197, 25, 62, 735, 1006, 653, 601, 304, 886, 1769, 1142, 428, 500, 387, 2674, 2007, 1838, 1530, 1021, 593, 425, 75]",0
210e80c1693ed4bf,"[7906, 6602, 6288, 5403, 1522, 1988, 563, 422, 409, 1001, 1149, 24, 20, 30, 785, 985, 638, 560, 295, 971, 1981, 1445, 2423, 434, 746, 392, 1676, 1493, 1090, 474, 605, 528, 72]",0
1fc969eafde8e7fa,"[7996, 7796, 7426, 6333, 3008, 714, 982, 755, 2148, 87, 47, 40, 1195, 1661, 862, 1420, 922, 619, 395, 2033, 2109, 1291, 1425, 645, 1520, 1350, 483, 422, 937, 448, 684, 441, 77]",0
2ed8ea14b886a38e,"[7852, 6485, 6145, 5296, 2452, 1918, 806, 452, 483, 48, 48, 20, 821, 1370, 585, 1159, 750, 389, 329, 703, 1818, 2077, 371, 332, 1556, 1197, 1389, 494, 997, 470, 613, 452, 70]",0
f7e24469b17f11ed,"[7812, 6563, 6294, 5698, 2045, 2498, 586, 420, 505, 1090, 26, 1642, 40, 67, 821, 1400, 753, 624, 569, 1019, 1600, 1244, 553, 2450, 433, 358, 1571, 1404, 603, 1025, 529, 445, 75]",0
ab5017161b133bf0,"[8116, 7118, 6751, 5904, 2546, 778, 2030, 509, 598, 836, 1659, 21, 34, 33, 590, 462, 1359, 783, 503, 1170, 2196, 1514, 2603, 656, 515, 427, 1843, 1671, 1255, 685, 765, 514, 74]",0
6ac1b458ed2071ed,"[7926, 7416, 7075, 6250, 2656, 1940, 738, 743, 794, 856, 1542, 46, 41, 53, 586, 1292, 878, 400, 338, 1215, 2065, 2597, 520, 444, 1365, 575, 1800, 1628, 1244, 603, 697, 555, 73]",0
fd6355a61a0a22a1,"[8248, 6809, 6520, 5732, 2508, 1705, 469, 817, 46, 664, 849, 1278, 42, 46, 608, 1057, 685, 432, 322, 1070, 2358, 1705, 422, 1123, 487, 1798, 351, 1624, 1234, 679, 592, 466, 73]",0
0283e22d344fde36,"[8192, 7443, 7130, 6194, 2488, 586, 1753, 640, 637, 24, 27, 939, 1422, 25, 720, 1197, 591, 677, 464, 956, 1588, 2738, 1030, 433, 352, 277, 1795, 1629, 554, 1187, 563, 523, 73]",0
8212301fcf02651d,"[7420, 6868, 6564, 5739, 2637, 2117, 874, 769, 756, 49, 710, 1745, 51, 46, 528, 414, 1510, 978, 430, 967, 1852, 1391, 2238, 727, 464, 399, 1551, 1386, 973, 419, 587, 453, 71]",0
59784e8e3bc91815,"[8295, 7745, 7406, 6570, 3210, 495, 2523, 894, 817, 33, 887, 2123, 30, 59, 606, 436, 1702, 997, 555, 1062, 1920, 2281, 547, 1260, 475, 561, 1512, 1328, 910, 418, 624, 443, 74]",0
d92d17cf81cb7fce,"[7202, 6164, 5869, 5085, 2323, 620, 1612, 624, 622, 1004, 48, 1183, 39, 48, 760, 992, 635, 570, 303, 1019, 1865, 1876, 1371, 622, 425, 384, 1119, 952, 568, 222, 300, 681, 75]",0
aafbdd20c38c5fd6,"[7753, 7090, 6709, 5802, 2556, 708, 551, 1956, 959, 47, 893, 1593, 28, 32, 656, 1373, 798, 477, 471, 935, 1774, 1203, 515, 2235, 383, 325, 1486, 1305, 638, 893, 405, 438, 73]",0
177f96096cd0000e,"[7384, 7111, 6808, 6001, 2820, 535, 2113, 580, 680, 23, 23, 46, 880, 1469, 651, 1274, 748, 484, 470, 874, 1799, 331, 288, 2110, 1059, 431, 1443, 1281, 930, 432, 554, 414, 70]",0
4f52770c1e8d0801,"[7378, 7164, 6856, 6070, 2887, 645, 2233, 628, 43, 589, 24, 24, 1055, 1672, 821, 1473, 673, 890, 514, 1007, 1910, 2324, 1840, 1284, 686, 1674, 339, 281, 1244, 589, 545, 568, 73]",0
